0,1,2,3,4,word,summary
202802.96697080552,91.58498976774864,0.00673543690966269,0.00027901805950552444,-7.000366655959649e-05,summaryOfAllWords,179915.05755006988
-4.406351092516129,-4.237985147360838,-0.30511229698915787,-0.08242822703856938,-0.005890114433772523,Onion,20.492618111862537
-2.7672192976889427,-5.090665463934236,-0.3078269030324806,-0.08767503275753541,-0.007182232505143688,farmers,22.340266543623162
-12.413640628635363,-0.07197909046346496,-0.2771488083893605,-0.056968199809014,0.0063749505883363925,onion farmer+s,11.466443017486968
-9.891486373300475,-1.3843520320365412,-0.2892398848740265,-0.06830301568076258,0.0013996588223965118,blame,14.30959685671252
-9.891486373300475,-1.3843520320365412,-0.2892398848740265,-0.06830301568076258,0.0013996588223965118,farmer+s blame,14.30959685671252
4653.363795081658,-2425.9960544218475,2.7739489258224492,0.9365831117626344,0.251741732000745,flooding,5270.23027300143
-4.36665347441879,-4.258650791419727,-0.30486527276424696,-0.08434767830410228,-0.005698363769376891,blame flooding,20.537372397123654
67.93108170237113,-41.86985426284111,-0.2820244407602317,0.2595008045096016,-0.0849690052382442,climate,102.033234393383
-11.220046782349277,-0.6944755168069019,-0.2975099466984772,0.015759638503206663,-0.0062736775798345025,flooding climate,12.812612102307828
55.46540047971078,-35.380629885734585,-0.3177080856557921,0.17374252720014385,-0.061009883264115536,change,87.97961587691825
55.6593590262388,-35.47929454007409,-0.3052504852694523,0.16198252497455462,-0.05903656532039115,climate chang+e,88.19722354920295
579.625721399425,-307.8966297985904,0.15172957384978175,-0.00702483199077434,-0.014233364735268778,for,678.7495883137178
-13.926476684085117,0.7143140552928271,-0.2765024446909209,0.005998834558337579,0.0034309661036721166,chang+e for,9.761484960597544
-11.781028304142803,-0.40141125831250246,-0.2860984588844358,-0.02940904088490985,0.001060537335648381,price,12.179691735824136
-14.33579388370366,0.9276226632572389,-0.2710069599814068,-0.0034137453241627896,0.006257922516883315,for price,9.299922943106237
-14.821256461434977,1.1804755821749167,-0.2648028468149166,-0.010387430247726849,0.009222156721777718,hike,8.752560563025538
-14.821256461434977,1.1804755821749167,-0.2648028468149166,-0.010387430247726849,0.009222156721777718,price hike,8.752560563025538
387.92828771231933,-208.22194546565404,0.12912685889970998,-0.042404714601668635,-0.023682113725621748,The,462.6872388994424
-15.146139521216991,1.349645418969759,-0.26066934727377356,-0.013231572720024808,0.011078799904108904,hike the,8.386273969659996
-10.563235091131046,-1.0348302188715355,-0.28697432316631966,-0.0627256441661812,0.002207926526256551,the onion,13.552360035911171
-12.749989090367043,0.10294450462674654,-0.2779282239633127,-0.03924751720569375,0.005162851350312589,Producers,11.087330854937639
-12.749989090367043,0.10294450462674654,-0.2779282239633127,-0.03924751720569375,0.005162851350312589,onion producers,11.087330854937639
-13.14873991873894,0.31048358835417655,-0.27449843929375856,-0.04188079930578879,0.006789680771474528,Processors,10.637805401278024
-13.14873991873894,0.31048358835417655,-0.27449843929375856,-0.04188079930578879,0.006789680771474528,producers processors,10.637805401278024
1847.6806725738181,-967.2053952887769,1.0079301940475094,0.2887983929979032,0.0632134717287752,and,2107.9634400103837
-13.339908845908875,0.40999376436566415,-0.2725349729714843,-0.04452718115408723,0.007772962523213434,processors and,10.422288552130427
-13.380817062784889,0.43128581405777666,-0.2721529493379168,-0.044838322155161744,0.007953528586041118,Marketers,10.37617113460526
-13.380817062784889,0.43128581405777666,-0.2721529493379168,-0.044838322155161744,0.007953528586041118,and marketers,10.37617113460526
-13.44216848874679,0.4632203302047042,-0.27152394539044794,-0.045598154852644894,0.008263102996459012,Association,10.30700629361915
-13.44216848874679,0.4632203302047042,-0.27152394539044794,-0.045598154852644894,0.008263102996459012,marketers association,10.30700629361915
-1.849751982585449,-5.5678424103534265,-0.310700786199354,-0.08167822449888745,-0.008930541049186506,Nigeria,23.374405074800066
-12.780386210707249,0.11882157831079887,-0.2765114364768122,-0.04603918125160909,0.006120347597028919,association nigeria,11.053036558678244
338.20657811223697,-182.37306533652722,-0.0032975499674423314,-0.05919949074820512,-0.02340048730500202,has,406.6477789544122
-12.800255983306304,0.12920659304602733,-0.2748162593510639,-0.054858553882332246,0.007298010752812079,nigeria has,11.030615823239302
-12.614288133837054,0.03243271548431803,-0.2759580404074587,-0.05588843432218631,0.006847507368827917,attributed,11.240255534757228
-12.614288133837054,0.03243271548431803,-0.2759580404074587,-0.05588843432218631,0.006847507368827917,has attributed,11.240255534757228
2238.5409392578017,-1170.424771233155,1.2990126593969606,0.42448790396400193,0.08255668491229155,the,2548.4971662512175
-11.607733196537726,-0.4913935974675896,-0.28397643144772733,-0.04724694286409217,0.0028640551468940983,attributed the,12.374953207297953
-0.05625107146300934,-6.500822312757004,-0.3118602012989645,-0.09245620011142176,-0.009325501537991438,surge,25.396058586360216
-0.05625107146300934,-6.500822312757004,-0.3118602012989645,-0.09245620011142176,-0.009325501537991438,the surge,25.396058586360216
-11.098930826687155,-0.756093247355361,-0.2840374181030645,-0.06333728334310607,0.0035826686414793755,onion,12.948487570318601
-11.098930826687155,-0.756093247355361,-0.2840374181030645,-0.06333728334310607,0.0035826686414793755,surge onion,12.948487570318601
-5.677239173442899,-3.5768662006923275,-0.3020278016039607,-0.08126874112046512,-0.004329716074605998,prices,19.060058328711104
-10.552220008774457,-1.0405628882544207,-0.28650785847359217,-0.0656770963062521,0.0025547283084984673,onion price+s,13.564777253479111
-13.339908845908875,0.40999376436566415,-0.2725349729714843,-0.04452718115408723,0.007772962523213434,price+s and,10.422288552130427
