,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Marion,Marion,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
West Virginia's,West Virginia's,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Chongqi,Chongqi,GPE,0.08916667,0.38166667,en,1.00000000,,-1,,,,,,
Hunan,Hunan,GPE,0.08916667,0.38166667,en,1.00000000,,-1,,,,,,
Guangxi,Guangxi,GPE,0.08916667,0.38166667,en,1.00000000,,-1,,,,,,
East Asia,East Asia,LOC,0.53105952,2.57792857,en,1.00000000,,-1,,,,,,
HARTFORD,HARTFORD,GPE,-0.00681818,0.34090909,en,1.00000000,,-1,,,,,,
Smoky Mountains,Smoky Mountains,LOC,-0.50000000,1.40000000,en,1.00000000,,-1,,,,,,
the Alau Dam,the Alau Dam,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
the Tijuana River,the Tijuana River,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Borno State,Borno State,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Puerto Angel,Puerto Angel,GPE,0.00000000,0.25000000,en,1.00000000,,-1,,,,,,
Acapulco,Acapulco,GPE,-0.44444444,0.83888889,en,1.00000000,,-1,,,,,,
The Eastern Cape,The Eastern Cape,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
JOHANNESBURG,JOHANNESBURG,GPE,0.30000000,0.60000000,en,1.00000000,,-1,,,,,,
Penampang,Penampang,GPE,0.32500000,0.85000000,en,1.00000000,,-1,,,,,,
the Mid-South,the Mid-South,GPE,0.20000000,1.60000000,en,1.00000000,,-1,,,,,,
Memphis,Memphis,GPE,0.00000000,1.00000000,en,1.00000000,,-1,,,,,,
TEHAMA COUNTY,TEHAMA COUNTY,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
West Coast,West Coast,LOC,0.05000000,0.20000000,en,1.00000000,,-1,,,,,,
South Africa's,South Africa's,GPE,-0.31250000,1.46666667,en,1.00000000,,-1,,,,,,
San Antoni,San Antoni,GPE,0.13614719,0.55064935,en,1.00000000,,-1,,,,,,
Eastern Cape,Eastern Cape,LOC,-0.10434524,5.71944444,en,1.00000000,,-1,,,,,,
Butler County,Butler County,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Irpin valley,Irpin valley,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Russian Invasion,Russian Invasion,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Jersey,Jersey,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Kagoshima,Kagoshima,GPE,-0.20000000,1.50000000,en,1.00000000,,-1,,,,,,
Honshu,Honshu,GPE,-0.20000000,1.50000000,en,1.00000000,,-1,,,,,,
Belagavi,Belagavi,GPE,-0.01333333,0.48666667,en,1.00000000,,-1,,,,,,
Dharwad,Dharwad,GPE,-0.01333333,0.48666667,en,1.00000000,,-1,,,,,,
the New South Wales Mid North Coast,the New South Wales Mid North Coast,LOC,-0.17829545,1.27318182,en,1.00000000,,-1,,,,,,
Shaboozey,Shaboozey,GPE,0.25000000,0.25000000,en,1.00000000,,-1,,,,,,
Southwestern Mexico,Southwestern Mexico,LOC,-0.10000000,0.10000000,en,1.00000000,,-1,,,,,,
the Sacramento River,the Sacramento River,LOC,-0.06666667,0.26666667,en,1.00000000,,-1,,,,,,
ALLEGHENY COUNTY,ALLEGHENY COUNTY,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Allegheny County,Allegheny County,GPE,-0.50000000,1.58333333,en,1.00000000,,-1,,,,,,
the Buri Dehing River,the Buri Dehing River,LOC,0.00000000,1.25000000,en,1.00000000,,-1,,,,,,
Dibrugarh,Dibrugarh,GPE,0.00000000,1.50000000,en,1.00000000,,-1,,,,,,
Lubbock,Lubbock,GPE,-0.20000000,0.50000000,en,1.00000000,,-1,,,,,,
Mississippi Valley,Mississippi Valley,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
the Bay of Fundy,the Bay of Fundy,LOC,0.29166667,0.45833333,en,1.00000000,,-1,,,,,,
N.S.,N.S.,GPE,-0.02500000,0.20000000,en,1.00000000,,-1,,,,,,
GUWAHATI,GUWAHATI,GPE,0.10312500,0.50833333,en,1.00000000,,-1,,,,,,
MONTREAL,MONTREAL,GPE,0.04375000,0.48541667,en,1.00000000,,-1,,,,,,
Montreal,Montreal,GPE,0.54375000,1.48541667,en,1.00000000,,-1,,,,,,
