,phrase,label,sentiment,subjectivity,language,count
Mamata Banerjee,Mamata Banerjee,PERSON,-0.20634920634920634,0.4801587301587302,en,2.8000000000000003
Gavin Newsom,Gavin Newsom,PERSON,0.0,0.0,en,2.8
KUALA NERUS,KUALA NERUS,PERSON,-0.08333333333333336,0.507936507936508,en,2.8
Aceh Tamiang,Aceh Tamiang,PERSON,-0.1369047619047619,0.46428571428571425,en,2.8
Kongjian Yu,Kongjian Yu,PERSON,0.06122448979591837,0.29591836734693877,en,2.8
RI Govt,RI Govt,PERSON,0.0,0.0,en,2.8
Jeff Gunter,Jeff Gunter,PERSON,-0.17857142857142858,0.3869047619047619,en,2.8
Medha Kulkarni,Medha Kulkarni,PERSON,0.04761904761904763,0.059523809523809534,en,2.8
Mike Littau,Mike Littau,PERSON,0.08730158730158731,0.4126984126984127,en,2.8
Joe Biden,Joe Biden,PERSON,0.0,0.5654761904761904,en,2.8
Lonnie Quinn,Lonnie Quinn,PERSON,0.17857142857142858,0.32142857142857145,en,2.8
Susie Lee,Susie Lee,PERSON,-0.17857142857142858,0.3869047619047619,en,2.8
Mother Nature,Mother Nature,PERSON,-0.17261904761904764,0.7827380952380952,en,2.8
Éireanns Michelle Dillon,Éireanns Michelle Dillon,PERSON,-0.08035714285714285,0.7589285714285715,en,2.8
Andrew Kozak,Andrew Kozak,PERSON,0.35714285714285715,0.5,en,2.8
Pope Francis,Pope Francis,PERSON,0.035714285714285705,0.6607142857142857,en,2.8
Donald Trumps,Donald Trumps,PERSON,0.5930059523809523,1.2582837301587302,en,2.8
Cyclone Alfred,Cyclone Alfred,PERSON,-0.11613906926406935,2.0575622294372296,en,2.8
Angus Taylor,Angus Taylor,PERSON,0.0,0.0,en,2.8
Wisma Putra,Wisma Putra,PERSON,0.053125,0.13973214285714286,en,2.8
Andy Beshear,Andy Beshear,PERSON,-0.11543367346938775,1.1760204081632653,en,2.8
Dan Patrick,Dan Patrick,PERSON,0.0404491341991342,0.10308441558441561,en,2.8
Jared Polis,Jared Polis,PERSON,0.1057692307692308,0.14423076923076925,en,2.5999999999999996
Tim Cook,Tim Cook,PERSON,-0.062222222222222255,0.368888888888889,en,2.4999999999999996
António Guterres,António Guterres,PERSON,-0.17708333333333334,0.4854166666666667,en,2.4
Sasko Lazarov,Sasko Lazarov,PERSON,0.0,0.0,en,2.1
Laura Bush,Laura Bush,PERSON,-0.03833333333333333,0.2694444444444445,en,2.0
VP Gibran,VP Gibran,PERSON,0.05,0.05,en,2.0
Tropical Rainstorm Lorena,Tropical Rainstorm Lorena,PERSON,-0.007142857142857145,0.3071428571428571,en,2.0
Sonarika Bhadoria,Sonarika Bhadoria,PERSON,0.0,0.0,en,2.0
Guru Randhawa,Guru Randhawa,PERSON,0.05,0.2,en,2.0
Dera Baba Nanak,Dera Baba Nanak,PERSON,0.05,0.2,en,2.0
Harjot Bains,Harjot Bains,PERSON,0.006249999999999999,0.20625,en,2.0
Natalius Pigai,Natalius Pigai,PERSON,0.0,0.10833333333333334,en,2.0
Michael McCown,Michael McCown,PERSON,0.25,0.375,en,2.0
Widiyanti Putri Wardhana,Widiyanti Putri Wardhana,PERSON,0.11666666666666665,0.45,en,2.0
Suzielianna Jonie,Suzielianna Jonie,PERSON,0.175,0.275,en,2.0
Kampung Sabuk,Kampung Sabuk,PERSON,0.175,0.275,en,2.0
Carlos Mazon,Carlos Mazon,PERSON,0.35,0.7833333333333333,en,2.0
I Datuk Seri Dr Jeffrey Kitingan,I Datuk Seri Dr Jeffrey Kitingan,PERSON,0.0875,0.7375,en,2.0
John Bolton,John Bolton,PERSON,0.29444444444444445,0.6444444444444445,en,2.0
Paxos Fat-Fingers,Paxos Fat-Fingers,PERSON,0.0,0.0,en,2.0
MARK THIESSEN,MARK THIESSEN,PERSON,-0.041666666666666664,0.2333333333333333,en,2.0
Johor Baru,Johor Baru,PERSON,0.4072916666666667,1.1416666666666666,en,2.0
ALOR SETAR,ALOR SETAR,PERSON,0.18421052631578946,0.2894736842105263,en,1.9
Keith Leonard,Keith Leonard,PERSON,0.05263157894736841,0.368421052631579,en,1.9
Rosie O’Donnell,Rosie O’Donnell,PERSON,-0.09473684210526316,0.08947368421052633,en,1.9
Katherine Ferruzzo,Katherine Ferruzzo,PERSON,-0.2631578947368421,0.49122807017543857,en,1.9
Brad Pitt,Brad Pitt,PERSON,0.008771929824561403,0.017543859649122806,en,1.9
