domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.abc.net.au,0.012303951394342625,0.1822434149340103,0.44937954347063436,0.1743156948188459,314.0
www.thestar.com.my,0.0789142309942098,0.16719644548439144,0.4219757696203671,0.16197254647834658,236.0
www.aljazeera.com,-0.06481795299047848,0.17412116538293662,0.38130938281957827,0.17962742736172566,214.0
abcnews.go.com,-0.03840844363437933,0.17339449033649004,0.3795224510134624,0.19653314058732219,204.0
economictimes.indiatimes.com,-0.007458863899090644,0.13652023826735657,0.43898358493230955,0.1650246600529196,201.0
www.bbc.com,-0.0389715848660301,0.22235281817299327,0.3889166140810692,0.17705755165386905,161.0
www.cbsnews.com,-0.0018763183240645737,0.18003088162842507,0.4145228777878044,0.1828078377953829,154.0
www.yahoo.com,-0.022043307827113716,0.17008141753895614,0.3879193942341434,0.20561302780720886,131.0
www.insurancejournal.com,-0.016886839946195744,0.17542421583268694,0.3929819120595923,0.19189270763808805,128.0
biztoc.com,-0.008639263523091974,0.17730595061076002,0.3377742785054584,0.1603126570331935,127.0
www.cbc.ca,0.00455694520733029,0.1434676019469458,0.3821821158007623,0.1736991869137887,116.0
nypost.com,-0.03487093193018797,0.15768974674605107,0.4358139929254648,0.17141758750708697,97.0
slashdot.org,0.006577116751084672,0.12585092135653833,0.4327327364999485,0.11627264110609971,97.0
www.newsweek.com,-0.027190379788139173,0.1293528845090769,0.38023355204727405,0.1538119571464744,91.0
www.thejournal.ie,0.004759180743004272,0.17704002433128743,0.4336765915457092,0.16497385986820656,85.0
www.nbcnews.com,-0.06487862756796581,0.16894949133026438,0.40585343486170694,0.17467375633635857,80.0
www.npr.org,0.018199172305651393,0.15373225410508196,0.43018158818651064,0.15979264838861468,80.0
en.antaranews.com,0.03766575016575017,0.16310999517272312,0.331988356050856,0.27717079200193334,74.0
consent.yahoo.com,-0.12008354539604539,0.16015100512952934,0.4114175295425296,0.130948351033217,74.0
www.forbes.com,0.044812230875909485,0.15542630096630222,0.3844539132696489,0.14594019232622266,73.0
www.independent.ie,0.014634343340398027,0.13495944883109154,0.3937124124428812,0.17669890868636137,64.0
theconversation.com,0.02422138339828956,0.15892821528060885,0.4757172439906677,0.15555897416714254,62.0
www.irishtimes.com,-0.018583892774482885,0.15798523962776476,0.42459507929603624,0.1472544503582528,57.0
timesofindia.indiatimes.com,0.037324057929382,0.1639092464662002,0.42950976475513514,0.19256877515748072,54.0
